Location,Cuisines,Average_Cost_for_Two,Rating,Votes,Reviews,Delivery_Time
"Delhi Administration Flats, Timarpur",Naga,250.0,3.0,313.0,119.0,45.0
"MG Road, Pune",Ice Cream,50.0,3.0,10.0,26.0,30.0
"Babarpur, New Delhi, Delhi",Fast Food,100.0,3.0,63.0,26.0,30.0
Delhi University-GTB Nagar,North Indian,100.0,3.0,6.0,26.0,30.0
"Moulali, Kolkata",Fast Food,100.0,3.0,7.0,3.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Beverages, Fast Food",200.0,3.0,12.0,9.0,30.0
"Delhi High Court, India Gate","Chinese, Tibetan, Thai",250.0,2.0,17.0,2.0,45.0
"Panjetan Colony, Malakpet, Hyderabad","North Indian, Chinese",200.0,3.0,47.0,11.0,30.0
Delhi University-GTB Nagar,North Indian,100.0,3.0,28.0,8.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Ice Cream, Beverages",100.0,3.0,63.0,26.0,30.0
Mumbai Central,"Beverages, Fast Food, Desserts, Ice Cream, Juices",200.0,4.0,2896.0,1444.0,45.0
"Moulali, Kolkata",North Indian,200.0,3.0,227.0,130.0,45.0
"Sector 14, Noida","North Indian, Chinese, Rolls",150.0,3.0,269.0,46.0,45.0
"Yerawada, Pune, Maharashtra",Desserts,150.0,4.0,114.0,58.0,30.0
"Chandni Chowk, Kolkata","Fast Food, Street Food, North Indian",150.0,3.0,251.0,105.0,65.0
"Yerawada, Pune, Maharashtra","Mithai, Street Food",50.0,3.0,186.0,53.0,45.0
"D-Block, Sector 63, Noida",Biryani,200.0,3.0,63.0,26.0,30.0
Majestic,"Burger, Continental, Italian, Beverages",300.0,4.0,319.0,199.0,45.0
Delhi Cantt.,"North Indian, Fast Food",100.0,3.0,36.0,1.0,30.0
"Yerawada, Pune, Maharashtra","Continental, North Indian, European, Asian, Italian, Seafood",550.0,4.0,320.0,168.0,45.0
"Sector 3, Marathalli","Kerala, South Indian, Seafood",200.0,3.0,95.0,40.0,30.0
"Sandhurst Road, Mumbai CST Area","Momos, Fast Food, Tea",150.0,3.0,14.0,7.0,30.0
"Nathan Road, Mangaldas Road, Pune","Pizza, Italian, Beverages",250.0,3.0,202.0,89.0,30.0
"FTI College, Law College Road, Pune","Asian, Chinese, Thai, Beverages, Desserts",250.0,3.0,31.0,20.0,45.0
Mumbai Central,Chinese,150.0,2.0,4.0,2.0,30.0
"Rmz Centennial, I Gate, Whitefield",Cafe,300.0,4.0,1143.0,584.0,30.0
Delhi University-GTB Nagar,"Desserts, Beverages",200.0,3.0,191.0,96.0,30.0
"Yerawada, Pune, Maharashtra","North Indian, Mughlai, Kebab, Chinese, Desserts",300.0,3.0,107.0,56.0,45.0
"Sector 1, Noida",Italian,150.0,3.0,63.0,26.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Fast Food",100.0,3.0,63.0,26.0,30.0
"Nathan Road, Mangaldas Road, Pune","Fast Food, Pizza, Desserts",200.0,3.0,20.0,5.0,30.0
"D-Block, Sector 63, Noida","Bakery, Desserts",150.0,3.0,6.0,4.0,30.0
"Delhi Administration Flats, Timarpur","Fast Food, Chinese, Continental",150.0,3.0,1032.0,334.0,30.0
Delhi Cantt.,"North Indian, Pizza, Burger, Continental",400.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","Pizza, Fast Food, Italian",400.0,2.0,772.0,357.0,45.0
"Sector 3, Marathalli","Biryani, Mughlai, Chinese, Arabian",300.0,3.0,572.0,167.0,45.0
Mumbai Central,"Beverages, Ice Cream",100.0,3.0,37.0,18.0,30.0
"Nathan Road, Mangaldas Road, Pune",North Indian,100.0,3.0,63.0,26.0,30.0
"Dockyard Road, Mumbai CST Area","North Indian, Chinese, Fast Food",200.0,3.0,16.0,1.0,30.0
"Moulali, Kolkata","Desserts, Beverages",200.0,4.0,62.0,50.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Cafe, Beverages, Fast Food",300.0,4.0,685.0,366.0,30.0
"Nathan Road, Mangaldas Road, Pune",North Indian,200.0,3.0,35.0,8.0,45.0
"Noorkhan Bazaar, Malakpet, Hyderabad","Street Food, South Indian",50.0,4.0,765.0,143.0,30.0
"Sector 1, Noida","Chinese, North Indian",200.0,3.0,26.0,15.0,65.0
"FTI College, Law College Road, Pune",Street Food,50.0,4.0,99.0,32.0,30.0
"Babarpur, New Delhi, Delhi","Pizza, Fast Food",200.0,3.0,7.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Arabian, North Indian, Chinese, Fast Food",300.0,3.0,507.0,221.0,65.0
"Delhi High Court, India Gate","Continental, North Indian, Mughlai, Chinese, Beverages",300.0,3.0,127.0,35.0,45.0
"D-Block, Sector 63, Noida",Chinese,200.0,3.0,12.0,9.0,30.0
"Babarpur, New Delhi, Delhi","North Indian, Chinese, South Indian",200.0,3.0,63.0,31.0,30.0
"Sector 63A,Gurgaon","Italian, Chinese, Beverages",100.0,3.0,63.0,26.0,30.0
Majestic,"South Indian, North Indian, Chinese, Street Food, Juices",200.0,3.0,386.0,154.0,30.0
"Sector 63A,Gurgaon",North Indian,250.0,3.0,5.0,2.0,45.0
Mumbai Central,"North Indian, Chinese, Mughlai",200.0,3.0,37.0,32.0,30.0
"Sandhurst Road, Mumbai CST Area","North Indian, Mughlai, Chinese",200.0,3.0,26.0,13.0,30.0
"Nathan Road, Mangaldas Road, Pune","North Indian, Chinese",200.0,3.0,10.0,3.0,45.0
"Nathan Road, Mangaldas Road, Pune",Street Food,100.0,3.0,7.0,3.0,30.0
"Nathan Road, Mangaldas Road, Pune","Fast Food, Burger, Beverages",250.0,3.0,242.0,108.0,65.0
Pune University,"North Indian, Chinese, South Indian",150.0,3.0,5.0,26.0,30.0
"Dockyard Road, Mumbai CST Area",Paan,100.0,3.0,14.0,3.0,45.0
"Hyderabad Public School, Begumpet",Biryani,150.0,3.0,32.0,3.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese, South Indian",350.0,3.0,316.0,196.0,30.0
"Dockyard Road, Mumbai CST Area",Fast Food,100.0,3.0,10.0,4.0,30.0
"Sandhurst Road, Mumbai CST Area",Fast Food,150.0,3.0,18.0,1.0,30.0
"D-Block, Sector 63, Noida","North Indian, Chinese, Mughlai",200.0,3.0,10.0,4.0,45.0
"FTI College, Law College Road, Pune","Bar Food, Asian, Mughlai, North Indian",600.0,3.0,406.0,260.0,30.0
"FTI College, Law College Road, Pune",Cafe,150.0,3.0,25.0,26.0,30.0
Delhi University-GTB Nagar,"Asian, Japanese, Sushi",300.0,4.0,65.0,33.0,30.0
"FTI College, Law College Road, Pune","Rolls, Fast Food",150.0,3.0,161.0,37.0,30.0
Majestic,Biryani,100.0,3.0,4.0,26.0,30.0
"Yerawada, Pune, Maharashtra","Sandwich, Fast Food",100.0,4.0,479.0,235.0,30.0
"FTI College, Law College Road, Pune","South Indian, Street Food",100.0,3.0,44.0,7.0,30.0
"MG Road, Pune","North Indian, Chinese, Fast Food",150.0,3.0,63.0,36.0,45.0
Delhi Cantt.,"North Indian, Chinese, Italian",200.0,4.0,161.0,58.0,30.0
"Rmz Centennial, I Gate, Whitefield","Continental, North Indian, Desserts, Beverages",250.0,3.0,19.0,7.0,65.0
"Sector 14, Noida","North Indian, Mughlai, Chinese",100.0,3.0,133.0,52.0,30.0
"Sector 3, Marathalli",North Indian,100.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune",Fast Food,150.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Hyderabadi, Chinese",100.0,3.0,45.0,8.0,45.0
Delhi Cantt.,"North Indian, Chinese, Momos",350.0,3.0,166.0,97.0,30.0
"Sector 1, Noida","Chinese, North Indian, Mughlai",800.0,2.0,175.0,78.0,30.0
"Sector 1, Noida","Chinese, Asian, Sushi, Japanese, Thai",750.0,4.0,1322.0,777.0,45.0
"Dockyard Road, Mumbai CST Area","Continental, Juices, American, Fast Food, Italian, Ice Cream",200.0,2.0,94.0,49.0,45.0
"Chatta Bazaar, Malakpet, Hyderabad","North Indian, Mughlai, Lebanese",150.0,3.0,190.0,10.0,30.0
"Sector 1, Noida","Mithai, Fast Food",150.0,3.0,42.0,6.0,45.0
Pune University,"Cafe, Italian, Bakery",200.0,2.0,93.0,53.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Biryani, Chinese",100.0,3.0,63.0,26.0,30.0
"Sector 3, Marathalli",Chinese,250.0,3.0,9.0,1.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","South Indian, North Indian, Chinese",150.0,4.0,929.0,160.0,45.0
"Yerawada, Pune, Maharashtra","Burger, Pizza, Fast Food",200.0,3.0,63.0,26.0,30.0
"Tiretti, Kolkata","North Indian, South Indian, Continental",400.0,4.0,1028.0,728.0,65.0
Majestic,South Indian,50.0,3.0,63.0,26.0,30.0
"Rmz Centennial, I Gate, Whitefield","North Indian, Chinese",150.0,3.0,63.0,26.0,45.0
"Sector 3, Marathalli",Bakery,150.0,3.0,4.0,1.0,30.0
Majestic,"Coffee, Beverages, Sandwich",200.0,3.0,63.0,26.0,30.0
"Dockyard Road, Mumbai CST Area","Chinese, Mughlai",150.0,3.0,6.0,3.0,30.0
"Delhi Administration Flats, Timarpur","North Indian, Chinese",350.0,3.0,9.0,5.0,30.0
Delhi Cantt.,"North Indian, South Indian, Chinese",300.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","North Indian, Biryani",200.0,2.0,16.0,2.0,45.0
"Yerawada, Pune, Maharashtra","Desserts, Fast Food",150.0,3.0,36.0,17.0,30.0
"MG Road, Pune","North Indian, Chinese, South Indian",200.0,3.0,20.0,12.0,30.0
Mumbai Central,"Fast Food, Rolls",150.0,3.0,65.0,32.0,30.0
"Sector 63A,Gurgaon",Chinese,200.0,3.0,63.0,26.0,30.0
"Raja Bazar, Kolkata","Kebab, Italian, Pizza, Desserts, Beverages",100.0,3.0,26.0,10.0,30.0
Majestic,"Cafe, Italian, Desserts, Bakery",450.0,4.0,760.0,387.0,65.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Healthy Food, North Indian",600.0,4.0,69.0,43.0,30.0
"Delhi Administration Flats, Timarpur","Chinese, Thai, Tibetan, Japanese, Momos",350.0,4.0,940.0,421.0,45.0
Delhi University-GTB Nagar,South Indian,200.0,3.0,185.0,22.0,30.0
"Sector 14, Noida","Chinese, Asian, Sushi, Japanese, Thai",750.0,4.0,1322.0,777.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Continental, North Indian, Chinese",250.0,3.0,8.0,3.0,30.0
"Delhi High Court, India Gate","Tea, Fast Food",100.0,3.0,28.0,24.0,30.0
Delhi University-GTB Nagar,South Indian,100.0,3.0,63.0,26.0,30.0
"Dockyard Road, Mumbai CST Area","Momos, Fast Food",50.0,3.0,29.0,15.0,30.0
Mumbai Central,"Biryani, Chinese, Mughlai",200.0,3.0,27.0,7.0,30.0
"Sector 1, Noida","Italian, Pizza, Salad",800.0,4.0,3315.0,2084.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese, Fast Food",150.0,3.0,49.0,6.0,30.0
Pune University,"South Indian, Kerala, Seafood",200.0,3.0,298.0,169.0,45.0
"D-Block, Sector 63, Noida",Ice Cream,100.0,3.0,49.0,1.0,30.0
Mumbai Central,"Mithai, Street Food",200.0,3.0,106.0,38.0,30.0
"Sector 14, Noida",Biryani,100.0,3.0,63.0,26.0,30.0
"Delhi Administration Flats, Timarpur","North Eastern, Momos, Fast Food, Beverages, Tibetan",100.0,2.0,63.0,26.0,30.0
Delhi University-GTB Nagar,North Indian,100.0,3.0,2080.0,268.0,45.0
"MG Road, Pune","Fast Food, Coffee",100.0,3.0,9.0,5.0,30.0
"Nathan Road, Mangaldas Road, Pune","Pizza, Salad",250.0,3.0,79.0,39.0,45.0
"Sector 3, Marathalli",Fast Food,200.0,3.0,12.0,2.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Fast Food,100.0,3.0,8.0,2.0,30.0
"Babarpur, New Delhi, Delhi","Biryani, Fast Food, Beverages",100.0,3.0,63.0,26.0,30.0
Delhi Cantt.,"Pizza, Desserts",150.0,3.0,22.0,12.0,30.0
"D-Block, Sector 63, Noida","North Indian, Mughlai, Chinese, Momos",350.0,4.0,128.0,107.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Street Food, Fast Food",50.0,3.0,63.0,26.0,30.0
"Moulali, Kolkata","North Indian, Chinese",100.0,3.0,733.0,55.0,45.0
Delhi University-GTB Nagar,"Beverages, Ice Cream, Desserts",100.0,3.0,72.0,29.0,30.0
"Sector 63A,Gurgaon",Bakery,100.0,3.0,63.0,26.0,120.0
"Sector 14, Noida","Biryani, Mughlai, Hyderabadi, Desserts",300.0,4.0,1327.0,527.0,120.0
Mumbai Central,"Desserts, Ice Cream",100.0,3.0,63.0,26.0,30.0
"Delhi High Court, India Gate","North Indian, Mughlai, Salad, Kebab",900.0,4.0,3203.0,1979.0,45.0
"Yerawada, Pune, Maharashtra",Bakery,100.0,3.0,63.0,26.0,30.0
Delhi University-GTB Nagar,"Fast Food, Chinese",100.0,3.0,20.0,6.0,30.0
"FTI College, Law College Road, Pune","Maharashtrian, Biryani",200.0,3.0,100.0,23.0,30.0
"Delhi Administration Flats, Timarpur",Biryani,200.0,3.0,34.0,6.0,30.0
"D-Block, Sector 63, Noida",North Indian,100.0,3.0,63.0,26.0,30.0
"Delhi Administration Flats, Timarpur","Biryani, North Indian",200.0,3.0,22.0,8.0,65.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese, Mangalorean",300.0,3.0,104.0,58.0,30.0
"D-Block, Sector 63, Noida",North Indian,200.0,3.0,4.0,26.0,30.0
"Sector 3, Marathalli","Bengali, North Indian",150.0,3.0,63.0,26.0,30.0
"Sector 63A,Gurgaon","Gujarati, North Indian",200.0,3.0,15.0,11.0,30.0
"FTI College, Law College Road, Pune","Desserts, Ice Cream, Beverages",200.0,3.0,64.0,10.0,30.0
"FTI College, Law College Road, Pune","Italian, Continental, Chinese, Mexican, Fast Food, Street Food, Desserts",300.0,4.0,3975.0,2359.0,65.0
"MG Road, Pune","Turkish, Healthy Food, Wraps",300.0,3.0,88.0,31.0,30.0
"D-Block, Sector 63, Noida",North Indian,200.0,3.0,41.0,18.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Pizza, Chinese",150.0,2.0,10.0,1.0,30.0
"Nathan Road, Mangaldas Road, Pune","North Indian, Chinese",150.0,3.0,63.0,26.0,30.0
Pune University,"Continental, Italian, European, Beverages, Desserts",250.0,4.0,773.0,477.0,45.0
"Sector 14, Noida","North Indian, Afghan, Lebanese",200.0,3.0,17.0,4.0,30.0
"Nathan Road, Mangaldas Road, Pune","Desserts, Ice Cream, Beverages",150.0,3.0,32.0,11.0,30.0
"Chandni Chowk, Kolkata","North Indian, Fast Food",100.0,3.0,94.0,36.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Biryani, North Indian, South Indian, Chinese",350.0,3.0,273.0,157.0,30.0
"Sector 1, Noida","Fast Food, North Indian",100.0,3.0,13.0,1.0,30.0
"Sector 63A,Gurgaon","Coffee, Beverages",100.0,3.0,47.0,20.0,30.0
"D-Block, Sector 63, Noida","North Indian, Mughlai, Chinese",250.0,2.0,45.0,7.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese",250.0,3.0,192.0,87.0,65.0
"Tiretti, Kolkata","Desserts, Bakery, Fast Food",100.0,3.0,73.0,14.0,45.0
"Yerawada, Pune, Maharashtra","Healthy Food, Juices",350.0,4.0,87.0,82.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese, Street Food",150.0,3.0,9.0,3.0,30.0
"Sector 3, Marathalli","Biryani, Mughlai, Chinese, Seafood",250.0,3.0,63.0,26.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Ice Cream, Desserts",100.0,3.0,61.0,18.0,65.0
"D-Block, Sector 63, Noida","North Indian, Chinese",250.0,3.0,5.0,2.0,30.0
"D-Block, Sector 63, Noida","Fast Food, Sandwich, Beverages, Italian",200.0,3.0,85.0,56.0,30.0
"Tejas Nagar Colony, Wadala West, Mumbai","Fast Food, Beverages",150.0,3.0,19.0,3.0,30.0
"MG Road, Pune","Desserts, Beverages",200.0,3.0,167.0,73.0,45.0
Mumbai Central,"Seafood, Rolls, BBQ",200.0,3.0,27.0,9.0,45.0
"Yerawada, Pune, Maharashtra","Bakery, Desserts",100.0,3.0,63.0,26.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Paan,100.0,3.0,13.0,6.0,30.0
"Panjetan Colony, Malakpet, Hyderabad",South Indian,50.0,3.0,41.0,9.0,45.0
"Rmz Centennial, I Gate, Whitefield",Chinese,200.0,3.0,28.0,11.0,20.0
"Delhi High Court, India Gate","Bakery, Desserts, Fast Food",200.0,3.0,231.0,139.0,45.0
"Delhi Administration Flats, Timarpur","North Indian, Mughlai",250.0,3.0,19.0,5.0,30.0
Delhi University-GTB Nagar,"Paan, Beverages",150.0,3.0,63.0,26.0,30.0
Pune University,"Burger, Fast Food",200.0,4.0,65.0,46.0,30.0
"Yerawada, Pune, Maharashtra","Fast Food, Italian, Beverages",150.0,3.0,33.0,30.0,30.0
"FTI College, Law College Road, Pune","Street Food, Beverages",200.0,3.0,36.0,15.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",South Indian,150.0,3.0,65.0,30.0,30.0
"Sector 14, Noida",North Indian,150.0,3.0,63.0,26.0,30.0
Delhi Cantt.,"Chinese, North Indian, Rolls, Biryani, Momos",200.0,3.0,992.0,513.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Cafe, Italian, Continental",500.0,4.0,106.0,63.0,30.0
"Raja Bazar, Kolkata","South Indian, Desserts",100.0,3.0,163.0,80.0,45.0
"Sector 1, Noida","North Indian, Chinese, Mughlai",200.0,2.0,15.0,7.0,30.0
"Sector 1, Noida","Continental, North Indian, Desserts, Beverages",200.0,3.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area","Chinese, North Indian",150.0,3.0,53.0,18.0,30.0
"Delhi Administration Flats, Timarpur","Ice Cream, Desserts, Fast Food",150.0,4.0,541.0,400.0,30.0
Mumbai Central,"Italian, Pizza",800.0,4.0,2211.0,628.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Bakery,100.0,3.0,30.0,6.0,120.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese",100.0,3.0,42.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","South Indian, Chinese, Street Food",100.0,3.0,63.0,30.0,30.0
Mumbai Central,North Indian,150.0,3.0,44.0,19.0,45.0
"Sector 1, Noida",Rolls,100.0,3.0,4.0,2.0,30.0
Delhi Cantt.,North Indian,100.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","Bakery, Desserts, Fast Food",250.0,3.0,42.0,28.0,65.0
"Sector 14, Noida","North Eastern, Momos, Fast Food, Beverages, Tibetan",100.0,3.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida",North Indian,200.0,3.0,84.0,42.0,30.0
"MG Road, Pune","Chinese, North Indian, Mughlai",250.0,3.0,9.0,1.0,30.0
"Sector 14, Noida","Bakery, Fast Food",400.0,4.0,1265.0,587.0,30.0
"Sector 14, Noida","Mughlai, North Indian, Rolls",250.0,3.0,36.0,23.0,30.0
"Sandhurst Road, Mumbai CST Area","North Indian, Chinese, Fast Food",200.0,3.0,63.0,26.0,30.0
"Moulali, Kolkata","North Indian, Cafe, Mexican",350.0,3.0,274.0,171.0,45.0
"Nathan Road, Mangaldas Road, Pune",Maharashtrian,100.0,3.0,12.0,1.0,30.0
"Tiretti, Kolkata",Mishti,50.0,3.0,109.0,24.0,65.0
Mumbai Central,"Mithai, Street Food",100.0,3.0,5.0,26.0,30.0
"FTI College, Law College Road, Pune","Sandwich, Fast Food",200.0,3.0,11.0,6.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Italian, Continental, Fast Food",250.0,4.0,87.0,48.0,30.0
"Sector 1, Noida","Cafe, American, Desserts",400.0,3.0,106.0,61.0,30.0
"Rmz Centennial, I Gate, Whitefield","Biryani, Mughlai",200.0,3.0,45.0,23.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Street Food",100.0,3.0,17.0,2.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Biryani,200.0,3.0,63.0,26.0,30.0
"Babarpur, New Delhi, Delhi","Mughlai, Kebab",150.0,3.0,6.0,4.0,30.0
"MG Road, Pune","Street Food, South Indian",100.0,2.0,23.0,6.0,30.0
Majestic,"Continental, North Indian",200.0,3.0,67.0,48.0,30.0
"Sandhurst Road, Mumbai CST Area",Street Food,100.0,3.0,155.0,48.0,45.0
"Sector 1, Noida","Maharashtrian, Healthy Food",100.0,3.0,8.0,5.0,30.0
"Sector 63A,Gurgaon",Bakery,250.0,2.0,19.0,6.0,45.0
"Sector 3, Marathalli","Beverages, Juices",150.0,3.0,25.0,17.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",North Indian,400.0,4.0,886.0,530.0,65.0
"Delhi Administration Flats, Timarpur","South Indian, Chinese, North Indian",200.0,3.0,234.0,46.0,30.0
"Delhi Administration Flats, Timarpur","Mithai, Street Food, South Indian, North Indian, Chinese, Bakery",250.0,4.0,284.0,111.0,30.0
Pune University,"Biryani, North Indian, Mughlai, Lucknowi",500.0,4.0,1973.0,1079.0,30.0
"Nathan Road, Mangaldas Road, Pune",Chinese,100.0,3.0,63.0,26.0,30.0
"Sector 63A,Gurgaon","Bakery, Desserts, Ice Cream",200.0,3.0,63.0,26.0,30.0
"Delhi Administration Flats, Timarpur",North Indian,150.0,3.0,15.0,2.0,30.0
"FTI College, Law College Road, Pune","Fast Food, Chinese, South Indian",150.0,2.0,12.0,9.0,30.0
"Raja Bazar, Kolkata",Bakery,200.0,3.0,63.0,26.0,30.0
"Delhi High Court, India Gate",North Indian,100.0,3.0,7.0,1.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Fast Food, Street Food, North Indian, Mughlai",200.0,2.0,27.0,15.0,30.0
"FTI College, Law College Road, Pune",Fast Food,100.0,3.0,5.0,3.0,30.0
"Delhi Administration Flats, Timarpur","North Indian, Mughlai",200.0,3.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area",Fast Food,100.0,3.0,63.0,26.0,30.0
"Sector 63A,Gurgaon","North Indian, Fast Food",100.0,2.0,22.0,4.0,45.0
"D-Block, Sector 63, Noida","North Indian, Mughlai",350.0,3.0,132.0,47.0,45.0
"Delhi Administration Flats, Timarpur","Fast Food, Rolls, Beverages",150.0,3.0,37.0,16.0,30.0
"D-Block, Sector 63, Noida",North Indian,200.0,3.0,6.0,2.0,30.0
Delhi University-GTB Nagar,"Biryani, North Indian, Mughlai",300.0,4.0,598.0,164.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Rolls",100.0,3.0,245.0,25.0,30.0
Pune University,"Momos, Fast Food, Chinese",100.0,3.0,63.0,26.0,30.0
"Rmz Centennial, I Gate, Whitefield","North Indian, Bihari, Rajasthani",150.0,4.0,236.0,83.0,45.0
"FTI College, Law College Road, Pune","North Indian, Chinese, Biryani",150.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","Finger Food, North Indian, Continental, Salad, Italian",600.0,4.0,270.0,148.0,30.0
"Delhi High Court, India Gate","Asian, Chinese, Japanese, Thai",800.0,4.0,808.0,391.0,45.0
Mumbai Central,"Desserts, Beverages, Healthy Food",200.0,3.0,48.0,19.0,45.0
Delhi Cantt.,"Pizza, Sandwich",150.0,3.0,6.0,2.0,30.0
Delhi University-GTB Nagar,North Indian,250.0,3.0,89.0,54.0,30.0
"Sector 1, Noida","North Indian, South Indian",150.0,3.0,80.0,31.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Bengali, North Indian, Chinese",200.0,3.0,120.0,66.0,30.0
"Raja Bazar, Kolkata","North Indian, South Indian, Chinese",300.0,4.0,798.0,346.0,30.0
Delhi University-GTB Nagar,Fast Food,100.0,3.0,90.0,31.0,30.0
"Sandhurst Road, Mumbai CST Area",Biryani,150.0,3.0,14.0,11.0,30.0
"D-Block, Sector 63, Noida",Paan,100.0,2.0,4.0,3.0,30.0
"FTI College, Law College Road, Pune","Maharashtrian, Street Food",100.0,3.0,9.0,3.0,30.0
"Nathan Road, Mangaldas Road, Pune","North Indian, Chinese, Fast Food",200.0,3.0,11.0,3.0,30.0
"Chandni Chowk, Kolkata",North Indian,200.0,3.0,106.0,32.0,30.0
"FTI College, Law College Road, Pune",Street Food,50.0,3.0,63.0,26.0,30.0
"Nathan Road, Mangaldas Road, Pune","Malaysian, Thai, Vietnamese, Japanese, Korean, Asian, Salad",750.0,4.0,4814.0,2224.0,65.0
"Sector 3, Marathalli","Biryani, Hyderabadi, North Indian, Mughlai",100.0,2.0,4.0,4.0,30.0
"MG Road, Pune","North Indian, Fast Food, Chinese, Maharashtrian",250.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Asian, Japanese, Thai, Mughlai, North Indian",350.0,4.0,448.0,198.0,65.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",North Indian,150.0,3.0,63.0,26.0,30.0
"Delhi Administration Flats, Timarpur","Chinese, Asian",300.0,4.0,230.0,141.0,30.0
Pune University,"Mithai, Street Food",50.0,3.0,5.0,4.0,30.0
"Delhi High Court, India Gate","North Indian, European, Chinese, Fast Food",750.0,4.0,1727.0,1225.0,30.0
"Yerawada, Pune, Maharashtra",Fast Food,200.0,2.0,101.0,38.0,65.0
"D-Block, Sector 63, Noida",North Indian,100.0,3.0,63.0,26.0,30.0
Majestic,"Fast Food, Sandwich",100.0,3.0,26.0,6.0,45.0
"Delhi High Court, India Gate","Chinese, Japanese, Seafood, Fast Food, Momos",600.0,3.0,1098.0,548.0,65.0
"Sector 1, Noida",Italian,100.0,3.0,63.0,26.0,30.0
"Nathan Road, Mangaldas Road, Pune","Ice Cream, Desserts, Beverages",150.0,3.0,63.0,26.0,30.0
"Sector 63A,Gurgaon","Momos, Fast Food",200.0,3.0,138.0,57.0,65.0
"MG Road, Pune","Maharashtrian, Street Food",100.0,3.0,21.0,7.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Biryani,200.0,3.0,1216.0,355.0,65.0
"D-Block, Sector 63, Noida","Biryani, North Indian",250.0,3.0,234.0,57.0,45.0
"Sector 63A,Gurgaon","Momos, Fast Food",150.0,3.0,34.0,21.0,45.0
"Moulali, Kolkata","North Indian, Beverages",100.0,2.0,7.0,26.0,30.0
"Sector 1, Noida",North Indian,150.0,3.0,32.0,20.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Bakery, Desserts",200.0,3.0,12.0,3.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Biryani, North Indian, Chinese",350.0,3.0,282.0,50.0,45.0
"Delhi Administration Flats, Timarpur","Bakery, Desserts",100.0,3.0,13.0,2.0,30.0
"FTI College, Law College Road, Pune","Bubble Tea, Desserts",200.0,3.0,42.0,23.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Fast Food, Burger",150.0,4.0,164.0,57.0,45.0
"Yerawada, Pune, Maharashtra","Fast Food, Chinese",150.0,3.0,63.0,26.0,30.0
